Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
State Of Rajasthan vs Man Industrial Corporation Ltd,STATE OF RAJASTHAN,MAN INDUSTRIAL CORPORATION LTD.,1969,4 February 1969,,,,1969 AIR 1245,,"The respondent, a fabricator of steel windows, submitted a tender for 'Providing and fixing' window leaves in a building. The window leaves. were to be fabricated according to the specifications in the contract and. were to State Of Rajasthan vs Man Industrial Corporation Ltd on 4 February, 1969 Ind",State_Of_Rajasthan_vs_Man_Industrial_Corporation_Ltd_on_4_February_1969_1.PDF,1969,"State Of Rajasthan vs Man Industrial Corporation Ltd on 4
February, 1969
Equivalent citations: 1969 AIR 1245, 1969 SCR (3) 505, AIR 1969 SUPREME
COURT 1245
Author: J.C. Shah
Bench: J.C. Shah, V. Ramaswami, A.N. Grover
           PETITIONER:
STATE OF RAJASTHAN
        Vs.
RESPONDENT:
MAN INDUSTRIAL CORPORATION LTD.
DATE OF JUDGMENT:
04/02/1969
BENCH:
SHAH, J.C.
BENCH:
SHAH, J.C.
RAMASWAMI, V.
GROVER, A.N.
CITATION:
 1969 AIR 1245            1969 SCR  (3) 505
 1969 SCC  (1) 567
 CITATOR INFO :
 D          1974 SC2309  (14)
 R          1977 SC1505  (8)
 RF         1978 SC1747  (5)
 R          1979 SC 545  (4)
ACT:
Sales  Tax-Contract  for  providing  and  fixing  goods   in
building-Whether sale of goods or for rendering service.
HEADNOTE:
The  respondent, a fabricator of steel windows, submitted  a
tender  for  'Providing  and  fixing'  window  leaves  in  a
building.    The  window  leaves.  were  to  be   fabricated
according to the specifications in the contract and. were to
State Of Rajasthan vs Man Industrial Corporation Ltd on 4 February, 1969
Indian Kanoon - http://indiankanoon.org/doc/796635/
1
be  fixed within six months from the date of  acceptance  to
the: building with rawl plugs in cut stone work.  The  'rate
quoted  by the respondent was based on the current price  of
mild  steel billets and the price was to be revised  in  the
light  of  cost revision of the controlled price  of  steel.
The  tender was accepted and the respondent carried out  the
contract.   The "
Union Of India Ors vs M S Bhim Sen Walaiti Ram,UNION OF INDIA & ORS.,M/S. BHIM SEN WALAITI RAM,1969,29 September 1969,,,,1971 AIR 2295,,"The respondent gave the highest bid at an auction for the sale of license for a country liquor shop in Delhi for the year 1949-50. Under cl. 31 of the conditions of sale for that year, the Chief Commissioner was under no Union Of India & Ors vs M/S. Bhim Sen Walaiti Ram on 29 September, 1969 Indian ",Union_Of_India_Ors_vs_M_S_Bhim_Sen_Walaiti_Ram_on_29_September_1969_1.PDF,1969,"Union Of India & Ors vs M/S. Bhim Sen Walaiti Ram on 29
September, 1969
Equivalent citations: 1971 AIR 2295, 1970 SCR (2) 594, AIR 1971 SUPREME
COURT 2295
Author: V. Ramaswami
Bench: V. Ramaswami, J.C. Shah, A.N. Grover
           PETITIONER:
UNION OF INDIA & ORS.
        Vs.
RESPONDENT:
M/S. BHIM SEN WALAITI RAM
DATE OF JUDGMENT:
29/09/1969
BENCH:
RAMASWAMI, V.
BENCH:
RAMASWAMI, V.
SHAH, J.C.
GROVER, A.N.
CITATION:
 1971 AIR 2295            1970 SCR  (2) 594
ACT:
    Delhi Liquor Licence Rules framed  under Punjab   Excise
Act  1  1914   Clause 21 Rule  5.34  requiring  purchase  at
auction of license to deposit one-sixth of annual fee within
seven    days    of    auction--Payment    not    made    by
purchaser--Commissioner refusing license  under cls. 31  and
33 of conditions of sale--Resale of licence by Collector  at
lesser   price-Original  purchaser  whether  liable  to  pay
deficency in price.
HEADNOTE:
    The  respondent gave the highest bid at an  auction  for
the  sale of license for a country liquor shop in Delhi  for
the  year 1949-50.  Under cl. 31 of the conditions  of  sale
for   that  year,  the  Chief  Commissioner  was  under   no
Union Of India & Ors vs M/S. Bhim Sen Walaiti Ram on 29 September, 1969
Indian Kanoon - http://indiankanoon.org/doc/1656791/
1
obligation  to grant a license until he was assured  of  the
financial status of the bidder.  Under el. 33 all final bids
were made subject to confirmation by the Chief  Commissioner
who  could  reject a"
Anwar Khan Mehboob Company vs The Commissioner Of Sales Tax Madhya,Anwar Khan Mehboob Company,The Commissioner Of Sales,1970,22 April 1970,,,"Article
286",AIR 1970 SC 1756,no order as to costs,,Anwar_Khan_Mehboob_Company_vs_The_Commissioner_Of_Sales_Tax_Madhya_on_22_April_1970_1.PDF,1970,"Anwar Khan Mehboob Company vs The Commissioner Of Sales
Tax, Madhya ... on 22 April, 1970
Equivalent citations: AIR1970SC1756, (1970)2SCC294, [1970]26STC381(SC),
AIR 1970 SUPREME COURT 1756
Author: J.C. Shah
Bench: A.N. Grover, J.C. Shah, K.S. Hegde
JUDGMENT
J.C. Shah, J.
1. The appellants are a firm having their head office at Jabalpur in Madhya Pradesh and branch
offices at Lucknow, Kanpur, Faizabad and Bombay. They are engaged in the business of
manufacturing and selling bidis, and are registered as dealers under the C.P. and Berar Sales Tax
Act, 1947. Between November, 1948, and October 12, 1949, the appellants despatched bidis of the
value of Rs. 22,60,241-5-0 to their branch offices outside the State of Madhya Pradesh, and bidis of
the value of Rs. 5,35,404-15-0 under instructions from their branches to other destinations outside
the State. The Sales Tax Officer rejected the contention of the appellants that the turnover resulting
from the sale of bidis supplied to the branches and under instructions from the branches was not
liable to be taxed under the C.P. and Berar Sales Tax Act, 1947, and brought the aggregate turnover
of Rs. 27,85,646-4-0 to tax. In appeal, the Deputy Commissioner reduced the taxable turnover by 5
per cent. The order of the Deputy Commissioner was confirmed in appeal to the Commissioner of
Sales Tax. A revision application filed before the Sales Tax Tribunal was unsuccessful.
2. At the instance of the appellants, the Tribunal submitted a statement"
Chhitter Mal Narain Das vs Commissioner Of Sales Tax,CHHITTER MAL NARAIN DAS,COMMISSIONER OF SALES TAX,1970,21 July 1970,,,,1970 AIR 2000,,"The, assesses who were dealers in food-grains supplied to the Regional Food Controller diverse quantities of wheat in compliance with the provisions of the U.P. Wheat Procurement Chhitter Mal Narain Das vs Commissioner Of Sales Tax on 21 July, 1970 Indian Kanoon - http://indiankanoon.org/doc/1999266",Chhitter_Mal_Narain_Das_vs_Commissioner_Of_Sales_Tax_on_21_July_1970_1.PDF,1970,"Chhitter Mal Narain Das vs Commissioner Of Sales Tax on 21
July, 1970
Equivalent citations: 1970 AIR 2000, 1971 SCR (1) 671, AIR 1970 SUPREME
COURT 2000
Author: J.C. Shah
Bench: J.C. Shah, K.S. Hegde
           PETITIONER:
CHHITTER MAL NARAIN DAS
        Vs.
RESPONDENT:
COMMISSIONER OF SALES TAX
DATE OF JUDGMENT:
21/07/1970
BENCH:
SHAH, J.C.
BENCH:
SHAH, J.C.
HEGDE, K.S.
CITATION:
 1970 AIR 2000            1971 SCR  (1) 671
 1970 SCC  (3) 809
 CITATOR INFO :
 RF         1972 SC  87  (32)
 F          1973 SC 668  (2)
 D          1978 SC 449  (44,45,47,52)
 F          1979 SC1158  (3)
 F          1985 SC1199  (6)
ACT:
U.P. Sales-tax Act 1948 S. 2(h)-Supply of wheat to  Regional
Food Controller under U.P. Wheat-Procurement (Levy) Order-if
taxable.
HEADNOTE:
The,  assesses who were dealers in food-grains  supplied  to
the Regional Food Controller diverse quantities of wheat  in
compliance with the provisions of the U.P. Wheat Procurement
Chhitter Mal Narain Das vs Commissioner Of Sales Tax on 21 July, 1970
Indian Kanoon - http://indiankanoon.org/doc/1999266/
1
(Levy) Order, 1959.  The Sales-tax Officer levied tax  under
the  U.P.  Sales-tax Act on the aggregate of  the  price  of
wheat  supplied  by the assesses,  rejecting  the  assesses'
contention  that  the  wheat supplied was not  sold  to  the
Controller.    In   appeal,   the   Assistant   Commissioner
(Judicial)  Sales Tax held the supply was not taxable  since
there  was  no ""sale"" within the U.P. Sales-tax  Act.   This
"
Mohd Ibrahim Etc vs State Transport Appellate Tribunal,MOHD. IBRAHIM ETC.,"STATE TRANSPORT APPELLATE TRIBUNAL, MADRASETC.",1970,30 April 1970,,,,1970 AIR 1542,,"(1)A Regional Transport Authority is not required under s. 47(3) of the Motor Vehicles Act, 1939 to take into Mohd. Ibrahim Etc vs State Transport Appellate Tribunal, ... on 30 April, 1970 Indian Kanoon - http://indiankanoon.org/doc/515459/ 1 consideration any representations of the nature mentioned",Mohd_Ibrahim_Etc_vs_State_Transport_Appellate_Tribunal_on_30_April_1970_1.PDF,1970,"Mohd. Ibrahim Etc vs State Transport Appellate Tribunal, ... on
30 April, 1970
Equivalent citations: 1970 AIR 1542, 1970 SCC (2) 233, AIR 1970 SUPREME
COURT 1542
Author: A.N. Ray
Bench: A.N. Ray, M. Hidayatullah, I.D. Dua
           PETITIONER:
MOHD.  IBRAHIM ETC.
        Vs.
RESPONDENT:
STATE TRANSPORT APPELLATE TRIBUNAL, MADRASETC.
DATE OF JUDGMENT:
30/04/1970
BENCH:
RAY, A.N.
BENCH:
RAY, A.N.
HIDAYATULLAH, M. (CJ)
DUA, I.D.
CITATION:
 1970 AIR 1542            1970 SCC  (2) 233
 CITATOR INFO :
 R          1972 SC2110  (2)
 F          1974 SC 391  (6)
 F          1975 SC 386  (2,3)
 F          1978 SC 949  (5,8)
 R          1984 SC   9  (7)
 RF         1988 SC1676  (5)
ACT:
Motor  Vehicles Act (4 of 1939), ss. 47, 57 and 63-Scope  of
in  relation  to  permits within  a  region,  inter-regional
permits and inter-State permits.
HEADNOTE:
(1)A Regional Transport Authority is not required under s.
47(3)  of  the  Motor  Vehicles  Act,  1939  to  take   into
Mohd. Ibrahim Etc vs State Transport Appellate Tribunal, ... on 30 April, 1970
Indian Kanoon - http://indiankanoon.org/doc/515459/
1
consideration any representations of the nature mentioned in
s. 47(1) of the Act because there is first total absence  in
s. 47(3) of any reference to representations mentioned in s.
47(1)  and secondly the Regional Transport  Authority  while
acting under s. 47(3) does not deal with any dispute between
operators and is confined to its own administrative  policy.
[480 A. D-F]
Neither the provisi"
State Of Bihar Anr vs Tata Engineering Locomotive Co Ltd,STATE OF BIHAR & ANR.,TATA ENGINEERING & LOCOMOTIVE CO. LTD.,1970,27 November 1970,,,Article 286(1),1971 AIR 477,,"The assessee, having its registered office in Bombay and its State Of Bihar & Anr vs Tata Engineering & Locomotive Co. Ltd on 27 November, 1970 Indian Kanoon - http://indiankanoon.org/doc/486728/ 1 factory in Bihar, was carrying on the business of manufacturing and selling trucks, bus chassis and sp",State_Of_Bihar_Anr_vs_Tata_Engineering_Locomotive_Co_Ltd_on_27_November_1970_1.PDF,1970,"State Of Bihar & Anr vs Tata Engineering & Locomotive Co. Ltd
on 27 November, 1970
Equivalent citations: 1971 AIR 477, 1971 SCR (2) 849, AIR 1971 SUPREME
COURT 477
Author: K.S. Hegde
Bench: K.S. Hegde, J.C. Shah, G.K. Mitter, A.N. Grover, A.N. Ray
           PETITIONER:
STATE OF BIHAR & ANR.
        Vs.
RESPONDENT:
TATA ENGINEERING & LOCOMOTIVE CO.  LTD.
DATE OF JUDGMENT:
27/11/1970
BENCH:
HEGDE, K.S.
BENCH:
HEGDE, K.S.
SHAH, J.C.
MITTER, G.K.
GROVER, A.N.
RAY, A.N.
CITATION:
 1971 AIR  477            1971 SCR  (2) 849
 1970 SCC  (3) 697
 CITATOR INFO :
 R          1975 SC1564  (29,33,60)
 RF         1979 SC1160  (17)
 R          1985 SC1689  (5)
 F          1985 SC1754  (9)
ACT:
Constitution  of India, 1950, Art. 286(2) as  it  originally
stood-In  the  course  of  inter-State  trade  or  commerce,
meaning of.
HEADNOTE:
The assessee, having its registered office in Bombay and its
State Of Bihar & Anr vs Tata Engineering & Locomotive Co. Ltd on 27 November, 1970
Indian Kanoon - http://indiankanoon.org/doc/486728/
1
factory   in  Bihar,  was  carrying  on  the   business   of
manufacturing  and  selling trucks, bus  chassis  and  spare
parts  to  their appointed dealers and  others.   Agreements
were  entered  into between the assessee and  the  appointed
dealers,  under which, each dealer was assigned a  territory
in  which alone the dealer could shell. The dealers  had  to
place  the indents, pay the price of goods to  be  purchased
and  obtain  delivery  orders from the  Bo"
State Of Maharashtra Anr vs Champalal Kishanlal Mohta,STATE OF MAHARASHTRA & ANR.,CHAMPALAL KISHANLAL MOHTA,1970,17 March 1970,,,,1971 AIR 908,appeal is allowed,"The contract of sale entered into by the respondent expressly provided that the timber agreed to be sold shall be severed. The High Court held that the sale of standing trees was not a sale of goods chargeable to sales tax under the Bombay Sales Tax Act, 1959. and the decision was State Of Maharasht",State_Of_Maharashtra_Anr_vs_Champalal_Kishanlal_Mohta_on_17_March_1970_1.PDF,1970,"State Of Maharashtra & Anr vs Champalal Kishanlal Mohta on 17
March, 1970
Equivalent citations: 1971 AIR 908, 1971 SCR (1) 46, AIR 1971 SUPREME
COURT 908, 1971 TAX. L. R. 405
Author: J.C. Shah
Bench: J.C. Shah, K.S. Hegde
           PETITIONER:
STATE OF MAHARASHTRA & ANR.
        Vs.
RESPONDENT:
CHAMPALAL KISHANLAL MOHTA
DATE OF JUDGMENT:
17/03/1970
BENCH:
SHAH, J.C.
BENCH:
SHAH, J.C.
HEGDE, K.S.
CITATION:
 1971 AIR  908            1971 SCR  (1)  46
 1970 SCC  (1) 611
 CITATOR INFO :
 R          1985 SC1293  (45)
ACT:
Bombay  Sales  Tax  Act  (51 of  1959)  as  amended  by  the
Maharashtra  Act  (15 of 1967), S.  2(7)--""Goody""  including
standing timber agreed to be severed--Sale of standing trees
agreed  to  be severed under contract--If  'sale  of  goods'
liable to sales tax.
HEADNOTE:
The  contract  of  sale  entered  into  by  the   respondent
expressly  provided that the timber agreed to be sold  shall
be  severed.  The High Court held that the sale of  standing
trees was not a sale of goods chargeable to sales tax  under
the  Bombay  Sales  Tax  Act, 1959.  and  the  decision  was
State Of Maharashtra & Anr vs Champalal Kishanlal Mohta on 17 March, 1970
Indian Kanoon - http://indiankanoon.org/doc/541801/
1
confirmed  by this Court on appeal.  But after the  judgment
of  the High Court and before the appeal was heard  in  this
Court,  the  expression ""goods"" in the Act  was  amended  by
Maharashtra Act 15 of 1967 with retrospective operation,  so
that,  it  included at a"
Tata Engineering Locomotive Co vs The Assistant Commissioner Of,TATA ENGINEERING & LOCOMOTIVE CO. LIMITED,THE ASSISTANT COMMISSIONER OF COMMERCIALTAXES & ANOTHER,1970,2 March 1970,,,Article  226,1970 AIR 1281,,The appellant carried on the business of manufacturing trucks in Jamshedpur in the State of Bihar. It did not have any stockyard in the State but maintained such stockyards in different States for the purpose of effective distribution of vehicles among its dealers. A form of agreement between the ap,Tata_Engineering_Locomotive_Co_vs_The_Assistant_Commissioner_Of_on_2_March_1970_1.PDF,1970,"Tata Engineering & Locomotive Co. ... vs The Assistant
Commissioner Of ... on 2 March, 1970
Equivalent citations: 1970 AIR 1281, 1970 SCR (3) 862, AIR 1970 SUPREME
COURT 1281
Author: A.N. Grover
Bench: A.N. Grover, J.C. Shah, K.S. Hegde, A.N. Ray, I.D. Dua
           PETITIONER:
TATA ENGINEERING & LOCOMOTIVE CO.  LIMITED
        Vs.
RESPONDENT:
THE ASSISTANT COMMISSIONER OF COMMERCIALTAXES & ANOTHER
DATE OF JUDGMENT:
02/03/1970
BENCH:
GROVER, A.N.
BENCH:
GROVER, A.N.
SHAH, J.C.
HEGDE, K.S.
RAY, A.N.
DUA, I.D.
CITATION:
 1970 AIR 1281            1970 SCR  (3) 862
 1970 SCC  (1) 622
 CITATOR INFO :
 R          1971 SC 477  (12)
 R          1973 SC2556  (9,20)
 R          1976 SC1016  (22)
 D          1979 SC1160  (16)
 D          1981 SC1604  (10,11)
 F          1985 SC1754  (9)
ACT:
Central Sales Tax Act, 1956-Trucks-manufactured in Bihar sold
from producer's stockyards in other States- Though  agreement
with  dealers envisaged firm advance orders, actual sales  by
allocation  from  stockyards--If  inter-state   sales-Whether
S.T.O. bound to examine each transaction or decide on general
basis of similar transactions.
Tata Engineering & Locomotive Co. ... vs The Assistant Commissioner Of ... on 2 March, 1970
Indian Kanoon - http://indiankanoon.org/doc/1544947/
1
HEADNOTE:
The appellant carried on the business of manufacturing trucks
in  Jamshedpur  in the State of Bihar.  It did not  have  any
stockyard  in  the State but maintained  such  stockyards  in
different States for th"
Allen Berry Co P Ltd vs Union Of India New Delhi,ALLEN BERRY & CO. (P) LTD.,"UNION OF INDIA, NEW DELHI.",1971,5 January 1971,,,,1971 AIR 696,upheld,"The Director General of Disposals, through correspondence and sale notes, sold to the appellant-company, United States surplus was materials consisting of vehicles and other Allen Berry & Co. (P) Ltd vs Union Of India, New Delhi on 5 January, 1971 Indian Kanoon - http://indiankanoon.org/doc/931195/ ",Allen_Berry_Co_P_Ltd_vs_Union_Of_India_New_Delhi_on_5_January_1971_1.PDF,1971,"Allen Berry & Co. (P) Ltd vs Union Of India, New Delhi on 5
January, 1971
Equivalent citations: 1971 AIR 696, 1971 SCR (3) 282, AIR 1971 SUPREME
COURT 696
Author: J.M. Shelat
Bench: J.M. Shelat, C.A. Vaidyialingam, P. Jaganmohan Reddy
           PETITIONER:
ALLEN BERRY & CO. (P) LTD.
        Vs.
RESPONDENT:
UNION OF INDIA, NEW DELHI.
DATE OF JUDGMENT05/01/1971
BENCH:
SHELAT, J.M.
BENCH:
SHELAT, J.M.
VAIDYIALINGAM, C.A.
REDDY, P. JAGANMOHAN
CITATION:
 1971 AIR  696            1971 SCR  (3) 282
 1971 SCC  (1) 295
 CITATOR INFO :
 F          1973 SC 683  (10)
 R          1987 SC2045  (7)
 R          1988 SC1166  (7)
 F          1988 SC1791  (10)
 R          1988 SC2018  (9)
 RF         1990 SC1340  (8)
ACT:
Arbitration   Act   (10  of  1940),  s.   30-Setting   aside
award---Error apparent on the face of award-What is.
HEADNOTE:
The  Director General of Disposals,  through  correspondence
and sale notes, sold to the appellant-company, United States
surplus  was  materials  consisting of  vehicles  and  other
Allen Berry & Co. (P) Ltd vs Union Of India, New Delhi on 5 January, 1971
Indian Kanoon - http://indiankanoon.org/doc/931195/
1
stores.  Disputes having arisen between the parties, both as
regards  the  contents of and the quantity of  the  vehicles
deliverable  under  the  contracts, they  were  referred  to
arbitration  as per cl. 13 of the general conditions of  the
contract  between  the parties.  The disputes  consisted  of
claims and counter claims and the umpire after"
Commissioner Of Commercial Taxes vs Hindustan Aeronautics Ltd,"COMMISSIONER OF COMMERCIAL TAXES, MYSOREBANGALORE",HINDUSTAN AERONAUTICS LTD.,1971,17 December 1971,,,,1972 AIR 744,,"The correspondence between the Railway Board and the respondent (assessec regarding the terms and conditions for the manufacture and supply of railway coaches, and the indemnity bond in respect of the contract, disclosed that,. Commissioner Of Commercial Taxes, ... vs Hindustan Aeronautics Ltd on 17",Commissioner_Of_Commercial_Taxes_vs_Hindustan_Aeronautics_Ltd_on_17_December_1971_1.PDF,1971,"Commissioner Of Commercial Taxes, ... vs Hindustan
Aeronautics Ltd on 17 December, 1971
Equivalent citations: 1972 AIR 744, 1972 SCR (2) 927, AIR 1972 SUPREME
COURT 744, 1972 TAX. L. R. 1853
Author: S.M. Sikri
Bench: S.M. Sikri, I.D. Dua, Hans Raj Khanna
           PETITIONER:
COMMISSIONER OF COMMERCIAL TAXES, MYSOREBANGALORE
        Vs.
RESPONDENT:
HINDUSTAN AERONAUTICS LTD.
DATE OF JUDGMENT17/12/1971
BENCH:
SIKRI, S.M. (CJ)
BENCH:
SIKRI, S.M. (CJ)
BHARGAVA, VISHISHTHA
DUA, I.D.
KHANNA, HANS RAJ
MITTER, G.K.
CITATION:
 1972 AIR  744            1972 SCR  (2) 927
 CITATOR INFO :
 D          1974 SC2309  (16)
 R          1976 SC2108  (48)
 D          1977 SC1537  (23,24,25,35)
 E          1984 SC 744  (24)
ACT:
Sales  Tax-Contract  for manufacture and supply  of  railway
coaches-if sale or Works-contract.
HEADNOTE:
The  correspondence  between  the  Railway  Board  and   the
respondent (assessec regarding the terms and conditions  for
the  manufacture  and  supply of railway  coaches,  and  the
indemnity bond in respect of the contract, disclosed that,.
Commissioner Of Commercial Taxes, ... vs Hindustan Aeronautics Ltd on 17 December, 1971
Indian Kanoon - http://indiankanoon.org/doc/1192889/
1
(i)  The  Railway  booked capacity of the assessee  for  the
purpose of construction of railway coaches;
(ii) an  advance, on account, was made to the extent of  90%
of  the  value  of  the material  on  the  production  of  a
certificate by the inspecting authority.
(iii)     the materia"
Salar Jung Sugar Nulls Ltd Etc vs State Of Mysore Ors,SALAR JUNG SUGAR NULLS LTD. ETC.,STATE OF MYSORE & ORS.,1971,1 November 1971,,,Article 14; Article 226,1972 AIR 87,,"By Mysore Act 11 of 1961 which came into force on October 1, 1961 sugarcane was included at Serial No. 11-A in the Third Schedule to the Mysore Sales Tax Act, 1957. As a result of the amendment the appellants were subjected to levy of tax on purchase of sugarcane. Their writ petitions challenging th",Salar_Jung_Sugar_Nulls_Ltd_Etc_vs_State_Of_Mysore_Ors_on_1_November_1971_1.PDF,1971,"Salar Jung Sugar Nulls Ltd. Etc vs State Of Mysore & Ors on 1
November, 1971
Equivalent citations: 1972 AIR 87, 1972 SCR (2) 228, AIR 1972 SUPREME
COURT 87
Author: A.N. Ray
Bench: A.N. Ray, Subimal Chandra Roy, D.G. Palekar, S.M. Sikri, J.M. Shelat,
I.D. Dua
           PETITIONER:
SALAR JUNG SUGAR NULLS LTD. ETC.
        Vs.
RESPONDENT:
STATE OF MYSORE & ORS.
DATE OF JUDGMENT01/11/1971
BENCH:
RAY, A.N.
BENCH:
RAY, A.N.
MITTER, G.K.
ROY, SUBIMAL CHANDRA
PALEKAR, D.G.
SIKRI, S.M. (CJ)
SHELAT, J.M.
DUA, I.D.
CITATION:
 1972 AIR   87            1972 SCR  (2) 228
 1970 SCC  (2)  23
 CITATOR INFO :
 R          1976 SC2478  (12)
 APR        1978 SC 449  (46,52)
 F          1985 SC1199  (6)
ACT:
Mysore  Sales Tax Act, 1957 as amended by Mysore Act  11  of
1961--Levy  of  purchase  tax  on  sugarcane  purchased   by
factories  from  growers--Purchase and supply  of  sugarcane
regulated by Central and State Control  Orders--Transactions
whether amounted to sale within meaning of s. 2(f) of Mysore
Sales  Tax Act--Mutual assent between purchaser  and  seller
whether Present--Factories whether dealer within meaning  of
Salar Jung Sugar Nulls Ltd. Etc vs State Of Mysore & Ors on 1 November, 1971
Indian Kanoon - http://indiankanoon.org/doc/526651/
1
s.  2(k) of Act--Different rates of tax In different  States
whether violative of Art. 14 of Constitution.
HEADNOTE:
By Mysore Act 11 of 1961 which came into force on October 1,
1961 sugarcane was included at Serial No. 11-A in the  Third
Schedu"
State Of West Bengal vs North Adjai Coal Co Ltd,State Of West Bengal,North Adjai Coal Co. Ltd.,1971,8 January 1971,,,Article 226,,no order as to costs,,State_Of_West_Bengal_vs_North_Adjai_Coal_Co_Ltd_on_8_January_1971_1.PDF,1971,"State Of West Bengal vs North Adjai Coal Co. Ltd. on 8 January,
1971
Equivalent citations: (1971)1SCC309, [1971]27STC268(SC), AIRONLINE 1971
SC 24
Author: J.C. Shah
Bench: J.C. Shah, A.N. Grover, K.S. Hegde
JUDGMENT
J.C. Shah, C.J.
1. Section 5(2)(a)(v) of the Bengal Finance (Sales Tax) Act, 1941, provides :
(2) In this Act the expression 'taxable turnover' means in the case of a dealer who is
liable to pay tax under Section 4 or under Sub-section (3) of Section 8, that part of his
gross turnover during any period which remains after deducting there from
(a) his turnover during that period on....
(v) sales of goods which are shown to the satisfaction of the Commissioner not to
have taken place in West Bengal, or to have taken place in the course of inter-State
trade or commerce, within the meaning of Section 3 of the Central Sales Tax Act,
1956, or in the course of import of the goods into, or export of the goods out of, the
territory of India, within the meaning of Section 5 of that Act.
2. The respondent-company carries on the business of a colliery. Pursuant to an agreement between
the Government of India and the Government of Pakistan, the former agreed to release certain
quantities of coal for consumption in East Pakistan. The respondent-company delivered coal to the
Fuel Inspector, Eastern Bengal Railway, East Pakistan, of the total value of Rs. 88,929-10-0. In
respect of this supply of coal, bills were drawn by the respondent in the name of the Deputy Coal
Commissioner"
The State Of Uttar Pradesh vs Ram Autar And Ors,The State Of Uttar Pradesh,Ram Autar And Ors.,1971,23 February 1971,,,,,,,The_State_Of_Uttar_Pradesh_vs_Ram_Autar_And_Ors_on_23_February_1971_1.PDF,1971,"The State Of Uttar Pradesh vs Ram Autar And Ors. on 23
February, 1971
Equivalent citations: (1971)3SCC774, 1971(III)UJ406(SC), AIRONLINE 1971 SC
3
Author: A.N. Ray
Bench: A.N. Ray, C.A. Vaidialingam
JUDGMENT
A.N. Ray, J.
1. This is an appeal by special leave from the judgment dated 16 October, 1967 of the High Court of
Allahabad (Lucknow Bench) acquitting eight respondents on appeal against the judgment dated 21
July, 1967 of the Sessions Judge, Sitapur and rejecting the reference dated 21 July, 1967 made by the
Sessions Judge to the High Court on the capital sentence passed on Ram Gopal the remaining
respondent.
2. The Sessions Judge found Ram Autar, Raghunath, Basdeo, Nand Ram, Chandra Bhal, Asharfi,
Lallu and Balram guilty of an offence Under Section 302/149 of the Indian Penal Code and
sentenced each of them to undergo imprisonment for life The Sessions Judge also found Chandra
Bhal, Asharfi and Basdeo guilty of an offence Under Section 148 of the Indian Penal Code and
convicted and sentenced each one of them to undergo rigorous imprisonment for two years. Ram
Autar, Raghunath, Nand Ram, Lallu and Balram were convicted of offence Under Section 147 of the
Indian Penal Code and each was sentenced to one year's rigorous imprisonment, on that count. The
Sessions Judge found that Ram Gopal was guilty of an offence Under Section 302 for committing
the murder and passed death sentence upon him.
3. The High Court found that the relations between the nine respondents and Chhatrapa"
Dwarka Prasad Singh Others vs Harikant Prasad Singh Others,DWARKA PRASAD SINGH & OTHERS,HARIKANT PRASAD SINGH & OTHERS,1972,29 November 1972,,,,1973 AIR 655,,"G (defendant First Party) sold a house to the plaintiff in 1931 for a consideration of Rs. 99,995, out of which Rs. 23,000 were paid to G. Subsequently G sold the house to the defendants Second Party. The plaintiff's prayed in the suit for (1) a decree for specific performance in favour of the plain",Dwarka_Prasad_Singh_Others_vs_Harikant_Prasad_Singh_Others_on_29_November_1972_1.PDF,1972,"Dwarka Prasad Singh & Others vs Harikant Prasad Singh &
Others on 29 November, 1972
Equivalent citations: 1973 AIR 655, 1973 SCR (2)1064, AIR 1973 SUPREME
COURT 655, 1973 (1) SCC 179, 1973 PATLJR 349, 1973 (1) SCWR 293, 1973
SCD 33, 1973 2 SCR 1064
Author: A.N. Grover
Bench: A.N. Grover, Kuttyil Kurien Mathew
           PETITIONER:
DWARKA PRASAD SINGH & OTHERS
        Vs.
RESPONDENT:
HARIKANT PRASAD SINGH & OTHERS
DATE OF JUDGMENT29/11/1972
BENCH:
GROVER, A.N.
BENCH:
GROVER, A.N.
MATHEW, KUTTYIL KURIEN
MUKHERJEA, B.K.
CITATION:
 1973 AIR  655            1973 SCR  (2)1064
 1973 SCC  (1) 179
ACT:
Appeal--supreme   Court   --Abatement--Death   of   one   of
respondents Legal representatives not impleaded  in  time-
Appeal  whether abates as a  whole-Considerations-Order-  41
Rule 4 Code of Civil Procedure, applicability of.
HEADNOTE:
G  (defendant First Party) sold a house to the plaintiff  in
1931  for  a consideration of Rs. 99,995, out of  which  Rs.
23,000 were paid to G. Subsequently G sold the house to  the
defendants Second Party.  The plaintiff's prayed in the suit
for  (1) a decree for specific performance in favour of  the
plaintiffs against defendants, and (2) in the alternative  a
decree against defendant First Party for a sum of Rs. 44,688
Dwarka Prasad Singh & Others vs Harikant Prasad Singh & Others on 29 November, 1972
Indian Kanoon - http://indiankanoon.org/doc/1980657/
1
with  interest.   The trial Court held  that  the  defendant
First Party had broken the con"
