Chapter_Number,Chapter_Title,Section_Identifier,Section_Title,Section_Text
I,PRELIMINARY,"Section 2 (19)",Definitions.,"""establishment"" includes an advertising agency, commission agent, manufacturing, trading or any other commercial agency which carries on any business, trade or profession or any work in connection with or incidental or ancillary to any commercial activity, trade or profession, or such other class or classes of persons including public utility entities in the manner as may be prescribed;"
I,PRELIMINARY,"Section 2 (20)",Definitions.,"""express warranty"" means any material statement, affirmation of fact, promise or description relating to a product or service warranting that it conforms to such material statement, affirmation, promise or description and includes any sample or model of a product warranting that the whole of such product conforms to such sample or model;"
I,PRELIMINARY,"Section 2 (21)",Definitions.,"""goods"" means every kind of movable property and includes ""food"" as defined in clause (j) of sub-section (1) of section 3 of the Food Safety and Standards Act, 2006;"
I,PRELIMINARY,"Section 2 (22)",Definitions.,"""harm"", in relation to a product liability, includes— (i) damage to any property, other than the product itself; (ii) personal injury, illness or death; (iii) mental agony or emotional distress attendant to personal injury or illness or damage to property; or (iv) any loss of consortium or services or other loss resulting from a harm referred to in sub-clause (i) or sub-clause (ii) or sub-clause (iii), but shall not include any harm caused to a product itself or any damage to the property on account of breach of warranty conditions or any commercial or economic loss, including any direct, incidental or consequential loss relating thereto;"
I,PRELIMINARY,"Section 2 (23)",Definitions.,"""injury"" means any harm whatever illegally caused to any person, in body, mind or property;"
I,PRELIMINARY,"Section 2 (24)",Definitions.,"""manufacturer"" means a person who— (i) makes any goods or parts thereof; or (ii) assembles any goods or parts thereof made by others; or (iii) puts or causes to be put his own mark on any goods made by any other person;"
I,PRELIMINARY,"Section 2 (25)",Definitions.,"""mediation"" means the process by which a mediator mediates the consumer disputes;"
I,PRELIMINARY,"Section 2 (26)",Definitions.,"""mediator"" means a mediator referred to in section 75;"
I,PRELIMINARY,"Section 2 (27)",Definitions.,"""member"" includes the President and a member of the National Commission or a State Commission or a District Commission, as the case may be;"
I,PRELIMINARY,"Section 2 (28)",Definitions.,"""misleading advertisement"" in relation to any product or service, means an advertisement, which— (i) falsely describes such product or service; or (ii) gives a false guarantee to, or is likely to mislead the consumers as to the nature, substance, quantity or quality of such product or service; or (iii) conveys an express or implied representation which, if made by the manufacturer or seller or service provider thereof, would constitute an unfair trade practice; or (iv) deliberately conceals important information;"
I,PRELIMINARY,"Section 2 (29)",Definitions.,"""National Commission"" means the National Consumer Disputes Redressal Commission established under sub-section (1) of section 53;"
I,PRELIMINARY,"Section 2 (30)",Definitions.,"""notification"" means a notification published in the Official Gazette and the term ""notify"" shall be construed accordingly;"
I,PRELIMINARY,"Section 2 (31)",Definitions.,"""person"" includes— (i) an individual; (ii) a firm whether registered or not; (iii) a Hindu undivided family; (iv) a co-operative society; (v) an association of persons whether registered under the Societies Registration Act, 1860 or not; (vi) any corporation, company or a body of individuals whether incorporated or not; (vii) any artificial juridical person, not falling within any of the preceding sub-clauses;"
I,PRELIMINARY,"Section 2 (32)",Definitions.,"""prescribed"" means prescribed by rules made by the Central Government, or, as the case may be, the State Government;"
I,PRELIMINARY,"Section 2 (33)",Definitions.,"""product"" means any article or goods or substance or raw material or any extended cycle of such product, which may be in gaseous, liquid, or solid state possessing intrinsic value which is capable of delivery either as wholly assembled or as a component part and is produced for introduction to trade or commerce, but does not include human tissues, blood, blood products and organs;"
I,PRELIMINARY,"Section 2 (34)",Definitions.,"""product liability"" means the responsibility of a product manufacturer or product seller, of any product or service, to compensate for any harm caused to a consumer by such defective product manufactured or sold or by deficiency in services relating thereto;"
I,PRELIMINARY,"Section 2 (35)",Definitions.,"""product liability action"" means a complaint filed by a person before a District Commission or State Commission or National Commission, as the case may be, for claiming compensation for the harm caused to him;"
I,PRELIMINARY,"Section 2 (36)",Definitions.,"""product manufacturer"" means a person who— (i) makes any product or parts thereof; or (ii) assembles parts thereof made by others; or (iii) puts or causes to be put his own mark on any products made by any other person; or (iv) makes a product and sells, distributes, leases, installs, prepares, packages, labels, markets, repairs, maintains such product or is otherwise involved in placing such product for commercial purpose; or (v) designs, produces, fabricates, constructs or re-manufactures any product before its sale; or (vi) being a product seller of a product, is also a manufacturer of such product;"
I,PRELIMINARY,"Section 2 (37)",Definitions.,"""product seller"", in relation to a product, means a person who, in the course of business, imports, sells, distributes, leases, installs, prepares, packages, labels, markets, repairs, maintains, or otherwise is involved in placing such product for commercial purpose and includes— (i) a manufacturer who is also a product seller; or (ii) a service provider, but does not include— (a) a seller of immovable property, unless such person is engaged in the sale of constructed house or in the construction of homes or flats; (b) a provider of professional services in any transaction in which, the sale or use of a product is only incidental thereto, but furnishing of opinion, skill or services being the essence of such transaction; (c) a person who— (I) acts only in a financial capacity with respect to the sale of the product; (II) is not a manufacturer, wholesaler, distributor, retailer, direct seller or an electronic service provider; (III) leases a product, without having a reasonable opportunity to inspect and discover defects in the product, under a lease arrangement in which the selection, possession, maintenance, and operation of the product are controlled by a person other than the lessor;"
I,PRELIMINARY,"Section 2 (38)",Definitions.,"""product service provider"", in relation to a product, means a person who provides any service in respect of such product;"
I,PRELIMINARY,"Section 2 (39)",Definitions.,"""regulations"" means the regulations made by the National Commission, or as the case may be, the Central Authority;"
I,PRELIMINARY,"Section 2 (40)",Definitions.,"""Regulator"" means a body or any authority established under any other law for the time being in force;"
I,PRELIMINARY,"Section 2 (41)",Definitions.,"""restrictive trade practice"" means a trade practice which tends to bring about manipulation of price or its conditions of delivery or to affect flow of supplies in the market relating to goods or services in such a manner as to impose on the consumers unjustified costs or restrictions and shall include— (i) delay beyond the period agreed to by a trader in supply of such goods or in providing the services which has led or is likely to lead to rise in the price; (ii) any trade practice which requires a consumer to buy, hire or avail of any goods or, as the case may be, services as condition precedent for buying, hiring or availing of other goods or services;"
I,PRELIMINARY,"Section 2 (42)",Definitions.,"""service"" means service of any description which is made available to potential users and includes, but not limited to, the provision of facilities in connection with banking, financing, insurance, transport, processing, supply of electrical or other energy, telecom, boarding or lodging or both, housing construction, entertainment, amusement or the purveying of news or other information, but does not include the rendering of any service free of charge or under a contract of personal service;"
I,PRELIMINARY,"Section 2 (43)",Definitions.,"""spurious goods"" means such goods which are falsely claimed to be genuine;"
I,PRELIMINARY,"Section 2 (44)",Definitions.,"""State Commission"" means a State Consumer Disputes Redressal Commission established under sub-section (1) of section 42;"
I,PRELIMINARY,"Section 2 (45)",Definitions.,"""trader"", in relation to any goods, means a person who sells or distributes any goods for sale and includes the manufacturer thereof, and where such goods are sold or distributed in package form, includes the packer thereof;"
I,PRELIMINARY,"Section 2 (46)",Definitions.,"""unfair contract"" means a contract between a manufacturer or trader or service provider on one hand, and a consumer on the other, having such terms which cause significant change in the rights of such consumer, including the following, namely:— (i) requiring manifestly excessive security deposits to be given by a consumer for the performance of contractual obligations; or (ii) imposing any penalty on the consumer, for the breach of contract thereof which is wholly disproportionate to the loss occurred due to such breach to the other party to the contract; or (iii) refusing to accept early repayment of debts on payment of applicable penalty; or (iv) entitling a party to the contract to terminate such contract unilaterally, without reasonable cause; or (v) permitting or has the effect of permitting one party to assign the contract to the detriment of the other party who is a consumer, without his consent; or (vi) imposing on the consumer any unreasonable charge, obligation or condition which puts such consumer to disadvantage;"
I,PRELIMINARY,"Section 2 (47)",Definitions.,"""unfair trade practice"" means a trade practice which, for the purpose of promoting the sale, use or supply of any goods or for the provision of any service, adopts any unfair method or unfair or deceptive practice including any of the following practices, namely:— (i) making any statement, whether orally or in writing or by visible representation including by means of electronic record, which— (a) falsely represents that the goods are of a particular standard, quality, quantity, grade, composition, style or model; (b) falsely represents that the services are of a particular standard, quality or grade; (c) falsely represents any re-built, second-hand, renovated, reconditioned or old goods as new goods; (d) represents that the goods or services have sponsorship, approval, performance, characteristics, accessories, uses or benefits which such goods or services do not have; (e) represents that the seller or the supplier has a sponsorship or approval or affiliation which such seller or supplier does not have; (f) makes a false or misleading representation concerning the need for, or the usefulness of, any goods or services; (g) gives to the public any warranty or guarantee of the performance, efficacy or length of life of a product or of any goods that is not based on an adequate or proper test thereof: Provided that where a defence is raised to the effect that such warranty or guarantee is based on adequate or proper test, the burden of proof of such defence shall lie on the person raising such defence; (h) makes to the public a representation in a form that purports to be— (A) a warranty or guarantee of a product or of any goods or services; or (B) a promise to replace, maintain or repair an article or any part thereof or to repeat or continue a service until it has achieved a specified result, if such purported warranty or guarantee or promise is materially misleading or if there is no reasonable prospect that such warranty, guarantee or promise will be carried out; (i) materially misleads the public concerning the price at which a product or like products or goods or services, have been or are, ordinarily sold or provided, and, for this purpose, a representation as to price shall be deemed to refer to the price at which the product or goods or services has or have been sold by sellers or provided by suppliers generally in the relevant market unless it is clearly specified to be the price at which the product has been sold or services have been provided by the person by whom or on whose behalf the representation is made; (j) gives false or misleading facts disparaging the goods, services or trade of another person. Explanation.—For the purposes of this sub-clause, a statement that is,— (A) expressed on an article offered or displayed for sale, or on its wrapper or container; or (B) expressed on anything attached to, inserted in, or accompanying, an article offered or displayed for sale, or on anything on which the article is mounted for display or sale; or (C) contained in or on anything that is sold, sent, delivered, transmitted or in any other manner whatsoever made available to a member of the public, shall be deemed to be a statement made to the public by, and only by, the person who had caused the statement to be so expressed, made or contained; (ii) permitting the publication of any advertisement, whether in any newspaper or otherwise, including by way of electronic record, for the sale or supply at a bargain price of goods or services that are not intended to be offered for sale or supply at the bargain price, or for a period that is, and in quantities that are, reasonable, having regard to the nature of the market in which the business is carried on, the nature and size of business, and the nature of the advertisement. Explanation.—For the purpose of this sub-clause, ""bargain price"" means,— (A) a price that is stated in any advertisement to be a bargain price, by reference to an ordinary price or otherwise; or (B) a price that a person who reads, hears or sees the advertisement, would reasonably understand to be a bargain price having regard to the prices at which the product advertised or like products are ordinarily sold; (iii) permitting— (a) the offering of gifts, prizes or other items with the intention of not providing them as offered or creating impression that something is being given or offered free of charge when it is fully or partly covered by the amount charged, in the transaction as a whole; (b) the conduct of any contest, lottery, game of chance or skill, for the purpose of promoting, directly or indirectly, the sale, use or supply of any product or any business interest, except such contest, lottery, game of chance or skill as may be prescribed; (c) withholding from the participants of any scheme offering gifts, prizes or other items free of charge on its closure, the information about final results of the scheme. Explanation.—For the purpose of this sub-clause, the participants of a scheme shall be deemed to have been informed of the final results of the scheme where such results are within a reasonable time published, prominently in the same newspaper in which the scheme was originally advertised; (iv) permitting the sale or supply of goods intended to be used, or are of a kind likely to be used by consumers, knowing or having reason to believe that the goods do not comply with the standards prescribed by the competent authority relating to performance, composition, contents, design, constructions, finishing or packaging as are necessary to prevent or reduce the risk of injury to the person using the goods; (v) permitting the hoarding or destruction of goods, or refusal to sell the goods or to make them available for sale or to provide any service, if such hoarding or destruction or refusal raises or tends to raise or is intended to raise, the cost of those or other similar goods or services; (vi) manufacturing of spurious goods or offering such goods for sale or adopting deceptive practices in the provision of services; (vii) not issuing bill or cash memo or receipt for the goods sold or services rendered in such manner as may be prescribed; (viii) refusing, after selling goods or rendering services, to take back or withdraw defective goods or to withdraw or discontinue deficient services and to refund the consideration thereof, if paid, within the period stipulated in the bill or cash memo or receipt or in the absence of such stipulation, within a period of thirty days; (ix) disclosing to other person any personal information given in confidence by the consumer unless such disclosure is made in accordance with the provisions of any law for the time being in force."
II,CONSUMER PROTECTION COUNCILS,"Section 3 (1)",Central Consumer Protection Council.,"The Central Government shall, by notification, establish with effect from such date as it may specify in that notification, the Central Consumer Protection Council to be known as the Central Council."
II,CONSUMER PROTECTION COUNCILS,"Section 3 (2)",Central Consumer Protection Council.,"The Central Council shall be an advisory council and consist of the following members, namely:— (a) the Minister-in-charge of the Department of Consumer Affairs in the Central Government, who shall be the Chairperson; and (b) such number of other official or non-official members representing such interests as may be prescribed."
II,CONSUMER PROTECTION COUNCILS,"Section 4 (1)",Procedure for meetings of Central Council.,"The Central Council shall meet as and when necessary, but at least one meeting of the Council shall be held every year."
II,CONSUMER PROTECTION COUNCILS,"Section 4 (2)",Procedure for meetings of Central Council.,"The Central Council shall meet at such time and place as the Chairperson may think fit and shall observe such procedure in regard to the transaction of its business as may be prescribed."
II,CONSUMER PROTECTION COUNCILS,Section 5,Objects of Central Council.,"The objects of the Central Council shall be to render advice on promotion and protection of the consumers' rights under this Act."
II,CONSUMER PROTECTION COUNCILS,"Section 6 (1)",State Consumer Protection Councils.,"Every State Government shall, by notification, establish with effect from such date as it may specify in such notification, a State Consumer Protection Council for such State to be known as the State Council."
II,CONSUMER PROTECTION COUNCILS,"Section 6 (2)",State Consumer Protection Councils.,"The State Council shall be an advisory council and consist of the following members, namely:— (a) the Minister-in-charge of Consumer Affairs in the State Government who shall be the Chairperson; (b) such number of other official or non-official members representing such interests as may be prescribed; (c) such number of other official or non-official members, not exceeding ten, as may be nominated by the Central Government."
II,CONSUMER PROTECTION COUNCILS,"Section 6 (3)",State Consumer Protection Councils.,"The State Council shall meet as and when necessary but not less than two meetings shall be held every year."
II,CONSUMER PROTECTION COUNCILS,"Section 6 (4)",State Consumer Protection Councils.,"The State Council shall meet at such time and place as the Chairperson may think fit and shall observe such procedure in regard to the transaction of its business, as may be prescribed."
II,CONSUMER PROTECTION COUNCILS,Section 7,Objects of State Council.,"The objects of every State Council shall be to render advice on promotion and protection of consumer rights under this Act within the State."
II,CONSUMER PROTECTION COUNCILS,"Section 8 (1)",District Consumer Protection Council.,"The State Government shall, by notification, establish for every District with effect from such date as it may specify in such notification, a District Consumer Protection Council to be known as the District Council."
II,CONSUMER PROTECTION COUNCILS,"Section 8 (2)",District Consumer Protection Council.,"The District Council shall be an advisory council and consist of the following members, namely:— (a) the Collector of the district (by whatever name called), who shall be the Chairperson; and (b) such number of other official and non-official members representing such interests as may be prescribed."
II,CONSUMER PROTECTION COUNCILS,"Section 8 (3)",District Consumer Protection Council.,"The District Council shall meet as and when necessary but not less than two meetings shall be held every year."
II,CONSUMER PROTECTION COUNCILS,"Section 8 (4)",District Consumer Protection Council.,"The District Council shall meet at such time and place within the district as the Chairperson may think fit and shall observe such procedure in regard to the transaction of its business as may be prescribed."
II,CONSUMER PROTECTION COUNCILS,Section 9,Objects of District Council.,"The objects of every District Council shall be to render advice on promotion and protection of consumer rights under this Act within the district."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 10 (1)",Establishment of Central Consumer Protection Authority.,"The Central Government shall, by notification, establish with effect from such date as it may specify in that notification, a Central Consumer Protection Authority to be known as the Central Authority to regulate matters relating to violation of rights of consumers, unfair trade practices and false or misleading advertisements which are prejudicial to the interests of public and consumers and to promote, protect and enforce the rights of consumers as a class."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 10 (2)",Establishment of Central Consumer Protection Authority.,"The Central Authority shall consist of a Chief Commissioner and such number of other Commissioners as may be prescribed, to be appointed by the Central Government to exercise the powers and discharge the functions under this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 10 (3)",Establishment of Central Consumer Protection Authority.,"The headquarters of the Central Authority shall be at such place in the National Capital Region of Delhi, and it shall have regional and other offices in any other place in India as the Central Government may decide."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 11,Qualifications method of recruitment etc. of Chief Commissioner and Commissioners.,"The Central Government may, by notification, make rules to provide for the qualifications for appointment, method of recruitment, procedure for appointment, term of office, salaries and allowances, resignation, removal and other terms and conditions of the service of the Chief Commissioner and Commissioners of the Central Authority."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 12,Vacancy etc. not to invalidate proceedings of Central Authority.,"No act or proceeding of the Central Authority shall be invalid merely by reason of— (a) any vacancy in, or any defect in the constitution of, the Central Authority; or (b) any defect in the appointment of a person acting as the Chief Commissioner or as a Commissioner; or (c) any irregularity in the procedure of the Central Authority not affecting the merits of the case."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 13 (1)",Appointment of officers experts professionals and other employees of Central Authority.,"The Central Government shall provide the Central Authority such number of officers and other employees as it considers necessary for the efficient performance of its functions under this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 13 (2)",Appointment of officers experts professionals and other employees of Central Authority.,"The salaries and allowances payable to, and the other terms and conditions of service of, the officers and other employees of the Central Authority appointed under this Act shall be such as may be prescribed."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 13 (3)",Appointment of officers experts professionals and other employees of Central Authority.,"The Central Authority may engage, in accordance with the procedure specified by regulations, such number of experts and professionals of integrity and ability, who have special knowledge and experience in the areas of consumer rights and welfare, consumer policy, law, medicine, food safety, health, engineering, product safety, commerce, economics, public affairs or administration, as it deems necessary to assist it in the discharge of its functions under this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 14 (1)",Procedure of Central Authority.,"The Central Authority shall regulate the procedure for transaction of its business and allocation of its business amongst the Chief Commissioner and Commissioners as may be specified by regulations."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 14 (2)",Procedure of Central Authority.,"The Chief Commissioner shall have the powers of general superintendence, direction and control in respect of all administrative matters of the Central Authority: Provided that the Chief Commissioner may delegate such of his powers relating to administrative matters of the Central Authority, as he may think fit, to any Commissioner (including Commissioner of a regional office) or any other officer of the Central Authority."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 15 (1)",Investigation Wing.,"The Central Authority shall have an Investigation Wing headed by a Director-General for the purpose of conducting inquiry or investigation under this Act as may be directed by the Central Authority."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 15 (2)",Investigation Wing.,"The Central Government may appoint a Director-General and such number of Additional Director-General, Director, Joint Director, Deputy Director and Assistant Director, from amongst persons who have experience in investigation and possess such qualifications, in such manner, as may be prescribed."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 15 (3)",Investigation Wing.,"Every Additional Director-General, Director, Joint Director, Deputy Director and Assistant Director shall exercise his powers, and discharge his functions, subject to the general control, supervision and direction of the Director-General."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 15 (4)",Investigation Wing.,"The Director-General may delegate all or any of his powers to the Additional Director-General or Director, Joint Director or Deputy Director or Assistant Director, as the case may be, while conducting inquiries or investigations under this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 15 (5)",Investigation Wing.,"The inquiries or the investigations made by the Director- General shall be submitted to the Central Authority in such form, in such manner and within such time, as may be specified by regulations."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 16,Power of District Collector.,"The District Collector (by whatever name called) may, on a complaint or on a reference made to him by the Central Authority or the Commissioner of a regional office, inquire into or investigate complaints regarding violation of rights of consumers as a class, on matters relating to violations of consumer rights, unfair trade practices and false or misleading advertisements, within his jurisdiction and submit his report to the Central Authority or to the Commissioner of a regional office, as the case may be."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 17,Complaints to authorities.,"A complaint relating to violation of consumer rights or unfair trade practices or false or misleading advertisements which are prejudicial to the interests of consumers as a class, may be forwarded either in writing or in electronic mode, to any one of the authorities, namely, the District Collector or the Commissioner of regional office or the Central Authority."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 18 (1)",Powers and functions of Central Authority.,"The Central Authority shall— (a) protect, promote and enforce the rights of consumers as a class, and prevent violation of consumers rights under this Act; (b) prevent unfair trade practices and ensure that no person engages himself in unfair trade practices; (c) ensure that no false or misleading advertisement is made of any goods or services which contravenes the provisions of this Act or the rules or regulations made thereunder; (d) ensure that no person takes part in the publication of any advertisement which is false or misleading."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 18 (2)",Powers and functions of Central Authority.,"Without prejudice to the generality of the provisions contained in sub-section (1), the Central Authority may, for any of the purposes aforesaid,— (a) inquire or cause an inquiry or investigation to be made into violations of consumer rights or unfair trade practices, either suo motu or on a complaint received or on the directions from the Central Government; (b) file complaints before the District Commission, the State Commission or the National Commission, as the case may be, under this Act; (c) intervene in any proceedings before the District Commission or the State Commission or the National Commission, as the case may be, in respect of any allegation of violation of consumer rights or unfair trade practices; (d) review the matters relating to, and the factors inhibiting enjoyment of, consumer rights, including safeguards provided for the protection of consumers under any other law for the time being in force and recommend appropriate remedial measures for their effective implementation; (e) recommend adoption of international covenants and best international practices on consumer rights to ensure effective enforcement of consumer rights; (f) undertake and promote research in the field of consumer rights; (g) spread and promote awareness on consumer rights; (h) encourage non-Governmental organisations and other institutions working in the field of consumer rights to co-operate and work with consumer protection agencies; (i) mandate the use of unique and universal goods identifiers in such goods, as may be necessary, to prevent unfair trade practices and to protect consumers' interest; (j) issue safety notices to alert consumers against dangerous or hazardous or unsafe goods or services; (k) advise the Ministries and Departments of the Central and State Governments on consumer welfare measures; (l) issue necessary guidelines to prevent unfair trade practices and protect consumers' interest."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 19 (1)",Power of Central Authority to refer matter for investigation or to other Regulator.,"The Central Authority may, after receiving any information or complaint or directions from the Central Government or of its own motion, conduct or cause to be conducted a preliminary inquiry as to whether there exists a prima facie case of violation of consumer rights or any unfair trade practice or any false or misleading advertisement, by any person, which is prejudicial to the public interest or to the interests of consumers and if it is satisfied that there exists a prima facie case, it shall cause investigation to be made by the Director-General or by the District Collector."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 19 (2)",Power of Central Authority to refer matter for investigation or to other Regulator.,"Where, after preliminary inquiry, the Central Authority is of the opinion that the matter is to be dealt with by a Regulator established under any other law for the time being in force, it may refer such matter to the concerned Regulator along with its report."
